Owner,Repo,Stars,Forks,Language,URL
huggingface,huggingface-sagemaker-snowflake-example,2,3,Python,https://github.com/huggingface/huggingface-sagemaker-snowflake-example
huggingface,huggingface-vscode-chat,28,8,TypeScript,https://github.com/huggingface/huggingface-vscode-chat
huggingface,huggingface.js,2247,517,TypeScript,https://github.com/huggingface/huggingface.js
huggingface,huggingface_hub,2947,806,Python,https://github.com/huggingface/huggingface_hub
huggingface,huggingface_sb3,88,28,Jupyter Notebook,https://github.com/huggingface/huggingface_sb3
huggingface,huggingface_tianshou,1,3,,https://github.com/huggingface/huggingface_tianshou
huggingface,HuggingSnap,174,20,Swift,https://github.com/huggingface/HuggingSnap
huggingface,Huggy,12,3,,https://github.com/huggingface/Huggy
huggingface,hugs-docs,12,2,,https://github.com/huggingface/hugs-docs
huggingface,hugs-gcp-marketplace,0,0,,https://github.com/huggingface/hugs-gcp-marketplace
huggingface,hugs-helm-chart,7,1,Smarty,https://github.com/huggingface/hugs-helm-chart
huggingface,image_gen_aux,62,9,Python,https://github.com/huggingface/image_gen_aux
huggingface,inference-benchmarker,112,18,Rust,https://github.com/huggingface/inference-benchmarker
huggingface,inference-playground,46,3,Svelte,https://github.com/huggingface/inference-playground
huggingface,inference-providers-starter-app,12,2,TypeScript,https://github.com/huggingface/inference-providers-starter-app
huggingface,instruction-tuned-sd,241,19,Python,https://github.com/huggingface/instruction-tuned-sd
huggingface,ioi,39,3,Python,https://github.com/huggingface/ioi
huggingface,jat,184,15,Python,https://github.com/huggingface/jat
huggingface,jupyter-agent,39,4,Python,https://github.com/huggingface/jupyter-agent
huggingface,kernel-builder,150,22,Rust,https://github.com/huggingface/kernel-builder
huggingface,kernels,292,22,Python,https://github.com/huggingface/kernels
huggingface,kernels-uvnotes,0,0,,https://github.com/huggingface/kernels-uvnotes
huggingface,khipu_workshop,9,8,Jupyter Notebook,https://github.com/huggingface/khipu_workshop
huggingface,knockknock,2818,233,Python,https://github.com/huggingface/knockknock
huggingface,large-scale-image-deduplication,159,13,Python,https://github.com/huggingface/large-scale-image-deduplication
huggingface,large_language_model_training_playbook,481,21,Python,https://github.com/huggingface/large_language_model_training_playbook
huggingface,latex2sympy2_extended,33,5,Python,https://github.com/huggingface/latex2sympy2_extended
huggingface,leaderboards,20,7,,https://github.com/huggingface/leaderboards
huggingface,lerobot,17668,2630,Python,https://github.com/huggingface/lerobot
huggingface,lerobot-dataset-visualizer,8,6,TypeScript,https://github.com/huggingface/lerobot-dataset-visualizer
huggingface,lerobot-libero,0,0,Jupyter Notebook,https://github.com/huggingface/lerobot-libero
huggingface,lerobot_hackathon_oct2024,31,1,,https://github.com/huggingface/lerobot_hackathon_oct2024
huggingface,lighteval,1973,354,Python,https://github.com/huggingface/lighteval
huggingface,llm-academy,3,4,Jupyter Notebook,https://github.com/huggingface/llm-academy
huggingface,llm-awq,3,2,,https://github.com/huggingface/llm-awq
huggingface,llm-course,10,2,,https://github.com/huggingface/llm-course
huggingface,llm-intellij,83,20,Kotlin,https://github.com/huggingface/llm-intellij
huggingface,llm-ls,821,65,Rust,https://github.com/huggingface/llm-ls
huggingface,llm-perf-backend,5,1,Python,https://github.com/huggingface/llm-perf-backend
huggingface,llm-swarm,274,29,Python,https://github.com/huggingface/llm-swarm
huggingface,llm-vscode,1307,142,TypeScript,https://github.com/huggingface/llm-vscode
huggingface,llm.nvim,1084,60,Lua,https://github.com/huggingface/llm.nvim
huggingface,llm_training_handbook,511,43,Python,https://github.com/huggingface/llm_training_handbook
